Date,Peak Hour,Total Expected Internal Supply,"Import Capacity from BC,SK and MATL (MW)",AIL Load + Operating Reserves,Surplus
2020-04-14,12.0,12303.0,1198.0,10585.0,2916.0
2020-04-15,11.0,12501.0,1198.0,10577.0,3122.0
2020-04-16,11.0,12551.0,1198.0,10583.0,3166.0
2020-04-17,12.0,12551.0,1198.0,10566.0,3183.0
2020-04-18,12.0,12551.0,1198.0,10203.0,3546.0
2020-04-19,18.0,12551.0,1198.0,10132.0,3617.0
2020-04-20,14.0,12451.0,1198.0,10616.0,3033.0
2020-04-21,12.0,12439.0,1198.0,10518.0,3119.0
2020-04-22,17.0,12455.0,1198.0,10545.0,3108.0
2020-04-23,12.0,12541.0,1198.0,10568.0,3171.0
2020-04-24,12.0,12544.0,1198.0,10593.0,3149.0
2020-04-25,12.0,12480.0,1198.0,10175.0,3503.0
2020-04-26,22.0,12544.0,1198.0,10138.0,3604.0
2020-04-27,12.0,12544.0,1198.0,10453.0,3289.0
2020-04-28,12.0,12643.0,1198.0,10380.0,3461.0
2020-04-29,12.0,12548.0,1198.0,10350.0,3396.0
2020-04-30,12.0,12540.0,1198.0,10374.0,3364.0
2020-05-01,12.0,12602.0,1198.0,10332.0,3468.0
2020-05-02,12.0,12638.0,1198.0,9834.0,4002.0
2020-05-03,18.0,12479.0,1198.0,9834.0,3843.0
2020-05-04,12.0,12405.0,1198.0,10303.0,3300.0
2020-05-05,12.0,12418.0,1198.0,10224.0,3392.0
2020-05-06,12.0,12320.0,1198.0,10199.0,3319.0
2020-05-07,12.0,12586.0,1198.0,10223.0,3561.0
2020-05-08,12.0,12839.0,1198.0,10221.0,3816.0
2020-05-09,12.0,12822.0,1198.0,9737.0,4283.0
2020-05-10,18.0,12828.0,1198.0,9732.0,4294.0
2020-05-11,12.0,12885.0,1198.0,10214.0,3869.0
2020-05-12,14.0,12885.0,1198.0,10161.0,3922.0
2020-05-13,14.0,12835.0,1198.0,10144.0,3889.0
2020-05-14,14.0,12835.0,1198.0,10187.0,3846.0
2020-05-15,12.0,12734.0,1198.0,10188.0,3744.0
2020-05-16,13.0,12941.0,1198.0,9720.0,4419.0
2020-05-17,18.0,12991.0,1198.0,9750.0,4439.0
2020-05-18,18.0,12991.0,1198.0,9884.0,4305.0
2020-05-19,14.0,12991.0,1198.0,10163.0,4026.0
2020-05-20,14.0,12991.0,1198.0,10157.0,4032.0
2020-05-21,14.0,13033.0,1198.0,10194.0,4037.0
2020-05-22,12.0,13033.0,1198.0,10209.0,4022.0
2020-05-23,13.0,12627.0,1198.0,9745.0,4080.0
2020-05-24,18.0,12627.0,1198.0,9778.0,4047.0
2020-05-25,14.0,12554.0,1198.0,10283.0,3469.0
2020-05-26,14.0,12655.0,1198.0,10234.0,3619.0
2020-05-27,14.0,12334.0,1198.0,10236.0,3296.0
