Date,Pool Price,30-Day Rolling Average Pool Price,AIL Demand
2020-03-31 00:00:00,26.68,42.52,9379.0
2020-03-31 01:00:00,27.76,42.51,9277.0
2020-03-31 02:00:00,30.67,42.51,9259.0
2020-03-31 03:00:00,30.99,42.51,9261.0
2020-03-31 04:00:00,31.68,42.51,9327.0
2020-03-31 05:00:00,31.62,42.5,9461.0
2020-03-31 06:00:00,31.86,42.5,9764.0
2020-03-31 07:00:00,31.56,42.49,10014.0
2020-03-31 08:00:00,24.47,42.48,10221.0
2020-03-31 09:00:00,24.55,42.46,10285.0
2020-03-31 10:00:00,24.13,42.43,10307.0
2020-03-31 11:00:00,28.79,42.41,10408.0
2020-03-31 12:00:00,33.39,42.4,10444.0
2020-03-31 13:00:00,33.65,42.4,10428.0
2020-03-31 14:00:00,33.58,42.4,10358.0
2020-03-31 15:00:00,33.63,42.41,10327.0
2020-03-31 16:00:00,33.29,42.43,10399.0
2020-03-31 17:00:00,33.39,42.43,10443.0
2020-03-31 18:00:00,30.38,42.43,10247.0
2020-03-31 19:00:00,33.23,42.43,10190.0
2020-03-31 20:00:00,33.6,42.43,10342.0
2020-03-31 21:00:00,33.32,42.43,10193.0
2020-03-31 22:00:00,31.32,42.43,9907.0
2020-03-31 23:00:00,29.11,42.43,9652.0
2020-04-01 00:00:00,28.98,42.43,9496.0
2020-04-01 01:00:00,29.02,42.43,9400.0
2020-04-01 02:00:00,28.94,42.43,9343.0
2020-04-01 03:00:00,28.96,42.42,9358.0
2020-04-01 04:00:00,28.93,42.44,9451.0
2020-04-01 05:00:00,31.62,42.45,9588.0
2020-04-01 06:00:00,33.45,42.45,9854.0
2020-04-01 07:00:00,31.19,42.45,10085.0
2020-04-01 08:00:00,29.76,42.44,10238.0
2020-04-01 09:00:00,29.06,42.44,10250.0
2020-04-01 10:00:00,29.06,42.43,10272.0
2020-04-01 11:00:00,29.04,42.42,10254.0
2020-04-01 12:00:00,29.08,42.41,10227.0
2020-04-01 13:00:00,30.17,42.4,10203.0
2020-04-01 14:00:00,33.32,42.4,10190.0
2020-04-01 15:00:00,33.26,42.39,10160.0
2020-04-01 16:00:00,32.35,42.37,10178.0
2020-04-01 17:00:00,29.49,42.32,10176.0
2020-04-01 18:00:00,33.23,42.32,10078.0
2020-04-01 19:00:00,33.32,42.32,10046.0
2020-04-01 20:00:00,33.33,42.31,10155.0
2020-04-01 21:00:00,33.32,42.31,10102.0
2020-04-01 22:00:00,34.66,42.32,9905.0
2020-04-01 23:00:00,33.29,42.33,9655.0
2020-04-02 00:00:00,33.3,42.33,9467.0
2020-04-02 01:00:00,33.35,42.34,9402.0
2020-04-02 02:00:00,33.25,42.36,9341.0
2020-04-02 03:00:00,33.33,42.37,9308.0
2020-04-02 04:00:00,33.33,42.38,9357.0
2020-04-02 05:00:00,33.32,42.38,9488.0
2020-04-02 06:00:00,35.81,42.39,9763.0
2020-04-02 07:00:00,33.97,42.4,10015.0
2020-04-02 08:00:00,33.25,42.4,10120.0
2020-04-02 09:00:00,33.24,42.41,10094.0
2020-04-02 10:00:00,33.36,42.41,10101.0
2020-04-02 11:00:00,33.36,42.41,10120.0
2020-04-02 12:00:00,33.3,42.4,10095.0
2020-04-02 13:00:00,33.89,42.4,10061.0
2020-04-02 14:00:00,38.28,42.41,10020.0
2020-04-02 15:00:00,37.14,42.41,9993.0
2020-04-02 16:00:00,33.27,42.41,9944.0
2020-04-02 17:00:00,33.29,42.41,9940.0
2020-04-02 18:00:00,33.25,42.41,9841.0
2020-04-02 19:00:00,33.29,42.41,9833.0
2020-04-02 20:00:00,33.24,42.41,9964.0
2020-04-02 21:00:00,36.73,42.42,9930.0
2020-04-02 22:00:00,34.78,42.42,9712.0
2020-04-02 23:00:00,33.27,42.42,9491.0
2020-04-03 00:00:00,30.79,42.42,9336.0
2020-04-03 01:00:00,29.04,42.42,9286.0
2020-04-03 02:00:00,28.99,42.42,9244.0
2020-04-03 03:00:00,29.0,42.42,9270.0
2020-04-03 04:00:00,28.91,42.42,9307.0
2020-04-03 05:00:00,28.97,42.42,9443.0
2020-04-03 06:00:00,28.96,42.42,9704.0
2020-04-03 07:00:00,28.99,42.41,9907.0
2020-04-03 08:00:00,28.98,42.38,10104.0
2020-04-03 09:00:00,32.22,42.33,10131.0
2020-04-03 10:00:00,34.63,42.33,10134.0
2020-04-03 11:00:00,34.64,42.34,10154.0
2020-04-03 12:00:00,34.7,42.34,10129.0
2020-04-03 13:00:00,29.86,42.34,10073.0
2020-04-03 14:00:00,29.07,42.33,10042.0
2020-04-03 15:00:00,29.1,42.33,9990.0
2020-04-03 16:00:00,29.09,42.32,10036.0
2020-04-03 17:00:00,29.11,42.31,10035.0
2020-04-03 18:00:00,29.03,42.3,9962.0
2020-04-03 19:00:00,29.1,42.29,9878.0
2020-04-03 20:00:00,29.09,42.28,9983.0
2020-04-03 21:00:00,29.1,42.26,9915.0
2020-04-03 22:00:00,31.01,42.23,9708.0
2020-04-03 23:00:00,29.11,42.23,9471.0
2020-04-04 00:00:00,26.23,42.22,9231.0
2020-04-04 01:00:00,22.96,42.19,9092.0
2020-04-04 02:00:00,27.94,42.18,9027.0
2020-04-04 03:00:00,28.85,42.17,8960.0
2020-04-04 04:00:00,28.88,42.16,8982.0
2020-04-04 05:00:00,28.83,42.14,9034.0
2020-04-04 06:00:00,29.53,42.13,9163.0
2020-04-04 07:00:00,29.54,42.12,9267.0
2020-04-04 08:00:00,30.88,42.11,9440.0
2020-04-04 09:00:00,33.07,42.11,9552.0
2020-04-04 10:00:00,30.58,42.11,9593.0
2020-04-04 11:00:00,30.62,42.11,9583.0
2020-04-04 12:00:00,34.58,42.11,9571.0
2020-04-04 13:00:00,34.55,42.11,9510.0
2020-04-04 14:00:00,34.1,42.11,9440.0
2020-04-04 15:00:00,34.53,42.11,9438.0
2020-04-04 16:00:00,34.51,42.12,9516.0
2020-04-04 17:00:00,34.54,42.12,9616.0
2020-04-04 18:00:00,34.5,42.12,9547.0
2020-04-04 19:00:00,34.5,42.13,9507.0
2020-04-04 20:00:00,34.57,42.14,9702.0
2020-04-04 21:00:00,33.55,42.14,9702.0
2020-04-04 22:00:00,28.98,42.14,9483.0
2020-04-04 23:00:00,28.96,42.13,9288.0
2020-04-05 00:00:00,29.46,42.13,9080.0
2020-04-05 01:00:00,27.83,42.12,8936.0
2020-04-05 02:00:00,25.08,42.11,8879.0
2020-04-05 03:00:00,23.53,42.1,8839.0
2020-04-05 04:00:00,23.01,42.09,8826.0
2020-04-05 05:00:00,26.41,42.09,8903.0
2020-04-05 06:00:00,27.99,42.09,9006.0
2020-04-05 07:00:00,28.88,42.08,9072.0
2020-04-05 08:00:00,29.51,42.07,9214.0
2020-04-05 09:00:00,29.75,42.07,9378.0
2020-04-05 10:00:00,29.84,42.06,9512.0
2020-04-05 11:00:00,29.75,42.05,9580.0
2020-04-05 12:00:00,33.69,42.05,9614.0
2020-04-05 13:00:00,33.52,42.05,9596.0
2020-04-05 14:00:00,34.25,42.05,9611.0
2020-04-05 15:00:00,34.53,42.05,9656.0
2020-04-05 16:00:00,34.81,42.05,9792.0
2020-04-05 17:00:00,34.87,42.06,9822.0
2020-04-05 18:00:00,34.74,42.06,9693.0
2020-04-05 19:00:00,34.83,42.06,9631.0
2020-04-05 20:00:00,34.81,42.06,9700.0
2020-04-05 21:00:00,34.84,42.06,9638.0
2020-04-05 22:00:00,34.1,42.06,9413.0
2020-04-05 23:00:00,29.04,42.05,9184.0
2020-04-06 00:00:00,29.72,42.05,9045.0
