Date,Balancing Authority Load
2020-03-01 00:00:00,6923
2020-03-01 01:00:00,6813
2020-03-01 02:00:00,6744
2020-03-01 03:00:00,6731
2020-03-01 04:00:00,6840
2020-03-01 05:00:00,7015
2020-03-01 06:00:00,7353
2020-03-01 07:00:00,7674
2020-03-01 08:00:00,7946
2020-03-01 09:00:00,8037
2020-03-01 10:00:00,8021
2020-03-01 11:00:00,7971
2020-03-01 12:00:00,7920
2020-03-01 13:00:00,7939
2020-03-01 14:00:00,7933
2020-03-01 15:00:00,8075
2020-03-01 16:00:00,8408
2020-03-01 17:00:00,8673
2020-03-01 18:00:00,8844
2020-03-01 19:00:00,8644
2020-03-01 20:00:00,8388
2020-03-01 21:00:00,8039
2020-03-01 22:00:00,7514
2020-03-01 23:00:00,7126
2020-03-02 00:00:00,6836
2020-03-02 01:00:00,6700
2020-03-02 02:00:00,6672
2020-03-02 03:00:00,6678
2020-03-02 04:00:00,6807
2020-03-02 05:00:00,7203
2020-03-02 06:00:00,7894
2020-03-02 07:00:00,8576
2020-03-02 08:00:00,8712
2020-03-02 09:00:00,8721
2020-03-02 10:00:00,8705
2020-03-02 11:00:00,8670
2020-03-02 12:00:00,8630
2020-03-02 13:00:00,8566
2020-03-02 14:00:00,8526
2020-03-02 15:00:00,8583
2020-03-02 16:00:00,8776
2020-03-02 17:00:00,9035
2020-03-02 18:00:00,9079
2020-03-02 19:00:00,8862
2020-03-02 20:00:00,8522
2020-03-02 21:00:00,8137
2020-03-02 22:00:00,7580
2020-03-02 23:00:00,7083
2020-03-03 00:00:00,6747
2020-03-03 01:00:00,6571
2020-03-03 02:00:00,6527
2020-03-03 03:00:00,6508
2020-03-03 04:00:00,6635
2020-03-03 05:00:00,7026
2020-03-03 06:00:00,7745
2020-03-03 07:00:00,8385
2020-03-03 08:00:00,8488
2020-03-03 09:00:00,8412
2020-03-03 10:00:00,8349
2020-03-03 11:00:00,8296
2020-03-03 12:00:00,8299
2020-03-03 13:00:00,8274
2020-03-03 14:00:00,8168
2020-03-03 15:00:00,8194
2020-03-03 16:00:00,8399
2020-03-03 17:00:00,8716
2020-03-03 18:00:00,8887
2020-03-03 19:00:00,8728
2020-03-03 20:00:00,8442
2020-03-03 21:00:00,8072
2020-03-03 22:00:00,7532
2020-03-03 23:00:00,7135
2020-03-04 00:00:00,6786
2020-03-04 01:00:00,6634
2020-03-04 02:00:00,6578
2020-03-04 03:00:00,6635
2020-03-04 04:00:00,6786
2020-03-04 05:00:00,7166
2020-03-04 06:00:00,7940
2020-03-04 07:00:00,8579
2020-03-04 08:00:00,8502
2020-03-04 09:00:00,8292
2020-03-04 10:00:00,8150
2020-03-04 11:00:00,8062
2020-03-04 12:00:00,8005
2020-03-04 13:00:00,7919
2020-03-04 14:00:00,7818
2020-03-04 15:00:00,7826
2020-03-04 16:00:00,8068
2020-03-04 17:00:00,8490
2020-03-04 18:00:00,8826
2020-03-04 19:00:00,8752
2020-03-04 20:00:00,8546
2020-03-04 21:00:00,8192
2020-03-04 22:00:00,7657
2020-03-04 23:00:00,7178
2020-03-05 00:00:00,6849
2020-03-05 01:00:00,6692
2020-03-05 02:00:00,6624
2020-03-05 03:00:00,6602
2020-03-05 04:00:00,6743
2020-03-05 05:00:00,7150
2020-03-05 06:00:00,7881
2020-03-05 07:00:00,8549
2020-03-05 08:00:00,8585
2020-03-05 09:00:00,8486
2020-03-05 10:00:00,8391
2020-03-05 11:00:00,8350
2020-03-05 12:00:00,8332
2020-03-05 13:00:00,8245
2020-03-05 14:00:00,8195
2020-03-05 15:00:00,8343
2020-03-05 16:00:00,8548
2020-03-05 17:00:00,8861
2020-03-05 18:00:00,9015
2020-03-05 19:00:00,8847
2020-03-05 20:00:00,8619
