DateTime,Generator,Fuel Type,Measurement,MW
2020-03-01 00:00:00,ABKENORA,HYDRO,Capability,10.0
2020-03-01 00:00:00,AGUASABON,HYDRO,Capability,52.0
2020-03-01 00:00:00,ALEXANDER,HYDRO,Capability,65.0
2020-03-01 00:00:00,APIROQUOIS,HYDRO,Capability,73.0
2020-03-01 00:00:00,ARNPRIOR,HYDRO,Capability,41.0
2020-03-01 00:00:00,ATIKOKAN-G1,BIOFUEL,Capability,215.0
2020-03-01 00:00:00,AUBREYFALLS,HYDRO,Capability,146.0
2020-03-01 00:00:00,BARRETT,HYDRO,Capability,176.0
2020-03-01 00:00:00,BECK1,HYDRO,Capability,387.0
2020-03-01 00:00:00,BECK2,HYDRO,Capability,1656.0
2020-03-01 00:00:00,BECK2 PGS,HYDRO,Capability,87.0
2020-03-01 00:00:00,BRIGHTON BEACH,GAS,Capability,565.0
2020-03-01 00:00:00,BRUCEA-G1,NUCLEAR,Capability,779.0
2020-03-01 00:00:00,BRUCEA-G2,NUCLEAR,Capability,779.0
2020-03-01 00:00:00,BRUCEA-G3,NUCLEAR,Capability,784.0
2020-03-01 00:00:00,BRUCEA-G4,NUCLEAR,Capability,0.0
2020-03-01 00:00:00,BRUCEB-G5,NUCLEAR,Capability,817.0
2020-03-01 00:00:00,BRUCEB-G6,NUCLEAR,Capability,0.0
2020-03-01 00:00:00,BRUCEB-G7,NUCLEAR,Capability,817.0
2020-03-01 00:00:00,BRUCEB-G8,NUCLEAR,Capability,817.0
2020-03-01 00:00:00,CALSTOCKGS,BIOFUEL,Capability,0.0
2020-03-01 00:00:00,CAMERONFALLS,HYDRO,Capability,96.0
2020-03-01 00:00:00,CANYON,HYDRO,Capability,210.0
2020-03-01 00:00:00,CARDINAL,GAS,Capability,184.0
2020-03-01 00:00:00,CARIBOUFALLS,HYDRO,Capability,91.0
2020-03-01 00:00:00,CARMICHAEL,HYDRO,Capability,20.0
2020-03-01 00:00:00,CHATSFALLS,HYDRO,Capability,96.0
2020-03-01 00:00:00,CHENAUX,HYDRO,Capability,158.0
2020-03-01 00:00:00,CLERGUE,HYDRO,Capability,53.0
2020-03-01 00:00:00,DA WATSON,HYDRO,Capability,80.0
2020-03-01 00:00:00,DARLINGTON-G1,NUCLEAR,Capability,870.0
2020-03-01 00:00:00,DARLINGTON-G2,NUCLEAR,Capability,0.0
2020-03-01 00:00:00,DARLINGTON-G3,NUCLEAR,Capability,880.0
2020-03-01 00:00:00,DARLINGTON-G4,NUCLEAR,Capability,880.0
2020-03-01 00:00:00,DECEWFALLS,HYDRO,Capability,148.0
2020-03-01 00:00:00,DECEWND1,HYDRO,Capability,20.0
2020-03-01 00:00:00,DESJOACHIMS,HYDRO,Capability,416.0
2020-03-01 00:00:00,DESTEC,GAS,Capability,120.0
2020-03-01 00:00:00,DOWCHEMICAL,GAS,Capability,36.0
2020-03-01 00:00:00,DPNTMTLND,GAS,Capability,52.0
2020-03-01 00:00:00,EARFALLS,HYDRO,Capability,17.0
2020-03-01 00:00:00,EAST WINDSOR-G1,GAS,Capability,46.0
2020-03-01 00:00:00,EAST WINDSOR-G2,GAS,Capability,46.0
2020-03-01 00:00:00,FORTFRANCSWC,HYDRO,Capability,10.0
2020-03-01 00:00:00,GARTSHORE,HYDRO,Capability,89.0
2020-03-01 00:00:00,GREENFIELD ENERGY CENTRE-G1,GAS,Capability,180.0
2020-03-01 00:00:00,GREENFIELD ENERGY CENTRE-G2,GAS,Capability,180.0
2020-03-01 00:00:00,GREENFIELD ENERGY CENTRE-G3,GAS,Capability,180.0
2020-03-01 00:00:00,GREENFIELD ENERGY CENTRE-G4,GAS,Capability,505.0
2020-03-01 00:00:00,GREENFIELD SOUTH-G1,GAS,Capability,192.0
2020-03-01 00:00:00,GREENFIELD SOUTH-G2,GAS,Capability,133.0
2020-03-01 00:00:00,GTAA-G1,GAS,Capability,47.0
2020-03-01 00:00:00,GTAA-G2,GAS,Capability,47.0
2020-03-01 00:00:00,GTAA-G3,GAS,Capability,0.0
2020-03-01 00:00:00,HALTONHILLS-LT.G1,GAS,Capability,211.0
2020-03-01 00:00:00,HALTONHILLS-LT.G2,GAS,Capability,211.0
2020-03-01 00:00:00,HALTONHILLS-LT.G3,GAS,Capability,300.0
2020-03-01 00:00:00,HARMON,HYDRO,Capability,78.0
2020-03-01 00:00:00,HARMON 2,HYDRO,Capability,78.0
2020-03-01 00:00:00,HARRIS,HYDRO,Capability,12.0
2020-03-01 00:00:00,HOLDEN,HYDRO,Capability,232.0
2020-03-01 00:00:00,HOLINGSWTH,HYDRO,Capability,23.0
2020-03-01 00:00:00,KAKABEKA,HYDRO,Capability,25.0
2020-03-01 00:00:00,KAPGS,GAS,Capability,0.0
2020-03-01 00:00:00,KIPLING,HYDRO,Capability,83.0
2020-03-01 00:00:00,KIPLING 2,HYDRO,Capability,79.0
2020-03-01 00:00:00,LAKESUPERIOR,GAS,Capability,0.0
2020-03-01 00:00:00,LENNOX-G1,GAS,Capability,525.0
2020-03-01 00:00:00,LENNOX-G2,GAS,Capability,0.0
2020-03-01 00:00:00,LENNOX-G3,GAS,Capability,525.0
2020-03-01 00:00:00,LENNOX-G4,GAS,Capability,525.0
2020-03-01 00:00:00,LITTLELONG,HYDRO,Capability,72.0
2020-03-01 00:00:00,LITTLELONG 2,HYDRO,Capability,75.0
2020-03-01 00:00:00,LONGSAULTE,HYDRO,Capability,20.0
2020-03-01 00:00:00,LOWER WHITE RIVER,HYDRO,Capability,3.0
2020-03-01 00:00:00,LOWERNOTCH,HYDRO,Capability,267.0
2020-03-01 00:00:00,MACKAYGS,HYDRO,Capability,62.0
2020-03-01 00:00:00,MANITOUFALLS,HYDRO,Capability,88.0
2020-03-01 00:00:00,MISSION,HYDRO,Capability,15.0
2020-03-01 00:00:00,MTNCHUTE,HYDRO,Capability,173.0
2020-03-01 00:00:00,NAGAGAMI,HYDRO,Capability,9.0
2020-03-01 00:00:00,NAPANEE-G1,GAS,Capability,0.0
2020-03-01 00:00:00,NAPANEE-G2,GAS,Capability,0.0
2020-03-01 00:00:00,NAPANEE-G3,GAS,Capability,0.0
2020-03-01 00:00:00,NIPIGONGS,GAS,Capability,23.0
2020-03-01 00:00:00,NORTHBAYGS,GAS,Capability,0.0
2020-03-01 00:00:00,NPCOCHRANE,GAS,Capability,0.0
2020-03-01 00:00:00,NPIROQFALLS,GAS,Capability,78.0
2020-03-01 00:00:00,NPKIRKLAND-G1-G5,GAS,Capability,101.0
