,price,Market Demand,Ontario Demand,capability,output
2020-04-01 00:00:00,5.49,15264,12346,27955.0,15220.0
2020-04-01 01:00:00,0.41,14919,12113,27955.0,14896.0
2020-04-01 02:00:00,7.55,14905,12052,27955.0,14857.0
2020-04-01 03:00:00,13.33,15108,12220,27955.0,15056.0
2020-04-01 04:00:00,13.33,15239,12722,27955.0,15108.0
2020-04-01 05:00:00,14.0,15881,13532,27824.0,15572.0
2020-04-01 06:00:00,13.35,16043,14073,27807.0,16019.0
2020-04-01 07:00:00,11.56,15943,14036,27715.0,15970.0
2020-04-01 08:00:00,7.81,15889,13719,27590.0,15880.0
2020-04-01 09:00:00,5.84,15823,13406,27590.0,15760.0
2020-04-01 10:00:00,13.31,15824,13233,27689.0,15866.0
2020-04-01 11:00:00,14.52,15831,13227,27819.0,15905.0
2020-04-01 12:00:00,13.35,15837,13163,27798.0,15759.0
2020-04-01 13:00:00,13.32,15630,13034,27760.0,15611.0
2020-04-01 14:00:00,13.32,15681,13143,27855.0,15682.0
2020-04-01 15:00:00,7.93,15667,13384,27855.0,15847.0
2020-04-01 16:00:00,5.08,16203,14143,27856.0,16257.0
2020-04-01 17:00:00,5.96,16464,14465,27860.0,16392.0
2020-04-01 18:00:00,17.6,17010,14913,27861.0,16761.0
2020-04-01 19:00:00,26.32,17108,15186,27688.0,16659.0
2020-04-01 20:00:00,22.09,16641,14693,27687.0,16492.0
2020-04-01 21:00:00,12.18,15928,13826,27687.0,15833.0
2020-04-01 22:00:00,7.28,15275,13066,27682.0,15256.0
2020-04-01 23:00:00,5.4,15010,12491,27682.0,15004.0
2020-04-02 00:00:00,0.0,14759,12078,27855.0,14719.0
2020-04-02 01:00:00,0.0,14826,11767,27855.0,14865.0
2020-04-02 02:00:00,1.63,15068,11676,27855.0,15072.0
2020-04-02 03:00:00,4.37,15076,11768,27855.0,15051.0
2020-04-02 04:00:00,0.41,15031,12237,27855.0,14979.0
2020-04-02 05:00:00,8.99,15725,13022,27855.0,15635.0
2020-04-02 06:00:00,4.77,16136,13616,27857.0,16031.0
2020-04-02 07:00:00,6.78,16073,13437,27853.0,15905.0
2020-04-02 08:00:00,12.76,16241,13258,27845.0,16070.0
2020-04-02 09:00:00,3.52,15594,12833,27845.0,15571.0
2020-04-02 10:00:00,0.86,15412,12667,27845.0,15284.0
2020-04-02 11:00:00,3.39,15625,12684,27938.0,15446.0
2020-04-02 12:00:00,0.41,15646,12595,27938.0,15471.0
2020-04-02 13:00:00,-0.01,15448,12411,27937.0,15258.0
2020-04-02 14:00:00,0.0,15734,12327,27934.0,15506.0
2020-04-02 15:00:00,0.0,15779,12631,27938.0,15611.0
2020-04-02 16:00:00,0.41,16356,13340,27938.0,16205.0
2020-04-02 17:00:00,3.68,16908,13893,27708.0,16654.0
2020-04-02 18:00:00,2.23,17622,14611,27708.0,17244.0
2020-04-02 19:00:00,0.0,17418,14893,27942.0,17077.0
2020-04-02 20:00:00,0.0,17301,14521,27943.0,16989.0
2020-04-02 21:00:00,7.6,17104,13756,27942.0,16773.0
2020-04-02 22:00:00,7.85,15986,12786,27937.0,15844.0
2020-04-02 23:00:00,2.39,15515,12184,27739.0,15401.0
2020-04-03 00:00:00,0.4,15467,11839,27813.0,15349.0
2020-04-03 01:00:00,0.47,15383,11671,27835.0,15243.0
2020-04-03 02:00:00,12.73,15518,11577,27835.0,15352.0
2020-04-03 03:00:00,5.28,15483,11675,27766.0,15327.0
2020-04-03 04:00:00,0.4,15327,12102,27904.0,15161.0
2020-04-03 05:00:00,3.82,15629,12902,27904.0,15464.0
2020-04-03 06:00:00,9.68,16402,13567,27879.0,16157.0
2020-04-03 07:00:00,12.18,16667,13845,27877.0,16370.0
2020-04-03 08:00:00,12.74,16967,13808,27990.0,16697.0
2020-04-03 09:00:00,12.79,16934,13613,27990.0,16736.0
2020-04-03 10:00:00,13.3,16374,13450,27942.0,16310.0
2020-04-03 11:00:00,12.72,16562,13621,27942.0,16390.0
2020-04-03 12:00:00,13.32,16562,13518,27943.0,16374.0
2020-04-03 13:00:00,9.24,16337,13421,27967.0,16121.0
2020-04-03 14:00:00,2.66,16083,13384,27966.0,15909.0
2020-04-03 15:00:00,14.15,16620,13759,27964.0,16401.0
2020-04-03 16:00:00,16.16,17143,14266,27964.0,16927.0
2020-04-03 17:00:00,13.36,17016,14426,27968.0,16761.0
2020-04-03 18:00:00,18.73,17189,14667,27968.0,16945.0
2020-04-03 19:00:00,13.89,16811,14758,27968.0,16673.0
2020-04-03 20:00:00,12.73,16392,14202,27968.0,16247.0
2020-04-03 21:00:00,10.83,15894,13489,27967.0,15741.0
2020-04-03 22:00:00,12.14,15127,12656,27919.0,15028.0
2020-04-03 23:00:00,13.38,15150,12111,27880.0,14920.0
2020-04-04 00:00:00,14.17,14866,11746,27855.0,14690.0
2020-04-04 01:00:00,12.24,14618,11564,27877.0,14419.0
2020-04-04 02:00:00,12.91,14435,11367,27877.0,14290.0
2020-04-04 03:00:00,5.83,14330,11379,27877.0,14162.0
2020-04-04 04:00:00,13.36,14678,11603,27862.0,14451.0
2020-04-04 05:00:00,13.57,14922,12008,27862.0,14672.0
2020-04-04 06:00:00,13.33,14848,12312,27862.0,14498.0
2020-04-04 07:00:00,5.03,14838,12488,27865.0,14633.0
