Date,Market Demand,Ontario Demand
2020-01-01 00:00:00,16565,13219
2020-01-01 01:00:00,16193,12895
2020-01-01 02:00:00,16072,12554
2020-01-01 03:00:00,15930,12360
2020-01-01 04:00:00,15963,12353
2020-01-01 05:00:00,16057,12458
2020-01-01 06:00:00,16249,12729
2020-01-01 07:00:00,16498,13180
2020-01-01 08:00:00,16686,13406
2020-01-01 09:00:00,16973,13765
2020-01-01 10:00:00,17340,14078
2020-01-01 11:00:00,17537,14373
2020-01-01 12:00:00,17756,14495
2020-01-01 13:00:00,17764,14513
2020-01-01 14:00:00,17857,14690
2020-01-01 15:00:00,17162,14753
2020-01-01 16:00:00,17654,15490
2020-01-01 17:00:00,18537,16324
2020-01-01 18:00:00,18574,16208
2020-01-01 19:00:00,18332,15911
2020-01-01 20:00:00,18314,15535
2020-01-01 21:00:00,18638,15222
2020-01-01 22:00:00,17964,14426
2020-01-01 23:00:00,17201,13698
2020-01-02 00:00:00,16449,12996
2020-01-02 01:00:00,16373,12662
2020-01-02 02:00:00,16031,12435
2020-01-02 03:00:00,15872,12365
2020-01-02 04:00:00,16082,12481
2020-01-02 05:00:00,16587,12940
2020-01-02 06:00:00,17671,13999
2020-01-02 07:00:00,19065,15238
2020-01-02 08:00:00,19484,15655
2020-01-02 09:00:00,19585,15819
2020-01-02 10:00:00,19086,15839
2020-01-02 11:00:00,19024,15846
2020-01-02 12:00:00,18568,15685
2020-01-02 13:00:00,19147,15926
2020-01-02 14:00:00,19114,15932
2020-01-02 15:00:00,19113,16048
2020-01-02 16:00:00,19141,16846
2020-01-02 17:00:00,19784,17621
2020-01-02 18:00:00,19768,17331
2020-01-02 19:00:00,19623,17099
2020-01-02 20:00:00,19173,16784
2020-01-02 21:00:00,18611,16005
2020-01-02 22:00:00,18223,15145
2020-01-02 23:00:00,17277,14154
2020-01-03 00:00:00,16372,13369
2020-01-03 01:00:00,16181,12976
2020-01-03 02:00:00,15810,12588
2020-01-03 03:00:00,15853,12570
2020-01-03 04:00:00,16420,12759
2020-01-03 05:00:00,16798,13419
2020-01-03 06:00:00,16773,14323
2020-01-03 07:00:00,17414,15321
2020-01-03 08:00:00,17897,15941
2020-01-03 09:00:00,17624,16053
2020-01-03 10:00:00,18203,16339
2020-01-03 11:00:00,18034,16358
2020-01-03 12:00:00,18700,16684
2020-01-03 13:00:00,18644,16744
2020-01-03 14:00:00,18323,16516
