Date,Hour,price,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
2020-01-01 00:00:00,1,0.0,0.0,0.0,0.0,1.03,0.2,0.2
2020-01-01 01:00:00,2,0.0,0.0,0.0,0.0,1.04,0.2,0.2
2020-01-01 02:00:00,3,0.0,0.0,0.0,0.0,1.05,0.2,0.2
2020-01-01 03:00:00,4,0.0,0.0,0.0,-0.02,1.06,0.18,0.18
2020-01-01 04:00:00,5,0.0,0.0,0.0,-0.1,1.07,0.2,0.2
2020-01-01 05:00:00,6,0.0,0.0,0.0,0.0,1.34,0.2,0.2
2020-01-01 06:00:00,7,0.0,0.0,0.0,0.0,1.45,0.2,0.2
2020-01-01 07:00:00,8,-0.04,0.0,0.0,0.0,1.55,0.2,0.2
2020-01-01 08:00:00,9,0.0,0.0,0.0,0.0,1.56,0.2,0.2
2020-01-01 09:00:00,10,0.0,0.0,0.0,0.0,1.27,0.2,0.2
2020-01-01 10:00:00,11,0.0,0.0,0.0,0.0,1.27,0.2,0.2
2020-01-01 11:00:00,12,0.0,0.0,0.0,0.0,1.27,0.2,0.2
2020-01-01 12:00:00,13,2.92,0.0,0.0,0.0,1.27,0.2,0.2
2020-01-01 13:00:00,14,1.8,0.0,0.0,0.0,1.27,0.2,0.2
2020-01-01 14:00:00,15,0.0,0.05,0.05,0.0,1.27,0.2,0.2
2020-01-01 15:00:00,16,0.0,5.85,5.83,5.76,1.27,0.2,0.2
2020-01-01 16:00:00,17,1.39,12.0,14.32,14.36,4.75,0.2,0.2
2020-01-01 17:00:00,18,5.44,14.33,14.32,14.35,4.75,4.75,4.75
2020-01-01 18:00:00,19,1.72,13.79,14.32,5.92,4.75,0.45,0.45
2020-01-01 19:00:00,20,0.0,5.81,5.88,5.85,4.75,0.2,0.2
2020-01-01 20:00:00,21,0.0,1.0,1.0,1.0,1.28,0.2,0.2
2020-01-01 21:00:00,22,0.0,0.0,0.0,0.0,1.55,0.2,0.2
2020-01-01 22:00:00,23,0.0,0.0,0.0,0.0,1.55,0.2,0.2
2020-01-01 23:00:00,24,0.0,0.0,0.0,0.0,1.0,0.2,0.2
2020-01-02 00:00:00,1,-0.04,0.0,0.0,0.0,1.06,0.2,0.2
2020-01-02 01:00:00,2,-0.12,0.0,0.0,-0.1,1.07,0.18,0.18
2020-01-02 02:00:00,3,-2.86,-0.1,-0.1,-0.13,1.08,0.18,0.18
2020-01-02 03:00:00,4,-3.0,-0.13,-0.13,-0.13,1.09,0.17,0.17
2020-01-02 04:00:00,5,-0.1,-0.1,-0.1,-0.02,1.1,0.2,0.2
