Date,region,load (MW)
2020-01-01 00:00:00,Ontario Demand,13219
2020-01-01 01:00:00,Ontario Demand,12895
2020-01-01 02:00:00,Ontario Demand,12554
2020-01-01 03:00:00,Ontario Demand,12360
2020-01-01 04:00:00,Ontario Demand,12353
2020-01-01 05:00:00,Ontario Demand,12458
2020-01-01 06:00:00,Ontario Demand,12729
2020-01-01 07:00:00,Ontario Demand,13180
2020-01-01 08:00:00,Ontario Demand,13406
2020-01-01 09:00:00,Ontario Demand,13765
2020-01-01 10:00:00,Ontario Demand,14078
2020-01-01 11:00:00,Ontario Demand,14373
2020-01-01 12:00:00,Ontario Demand,14495
2020-01-01 13:00:00,Ontario Demand,14513
2020-01-01 14:00:00,Ontario Demand,14690
2020-01-01 15:00:00,Ontario Demand,14753
2020-01-01 16:00:00,Ontario Demand,15490
2020-01-01 17:00:00,Ontario Demand,16324
2020-01-01 18:00:00,Ontario Demand,16208
2020-01-01 19:00:00,Ontario Demand,15911
2020-01-01 20:00:00,Ontario Demand,15535
2020-01-01 21:00:00,Ontario Demand,15222
2020-01-01 22:00:00,Ontario Demand,14426
2020-01-01 23:00:00,Ontario Demand,13698
2020-01-02 00:00:00,Ontario Demand,12996
2020-01-02 01:00:00,Ontario Demand,12662
2020-01-02 02:00:00,Ontario Demand,12435
2020-01-02 03:00:00,Ontario Demand,12365
2020-01-02 04:00:00,Ontario Demand,12481
2020-01-02 05:00:00,Ontario Demand,12940
2020-01-02 06:00:00,Ontario Demand,13999
2020-01-02 07:00:00,Ontario Demand,15238
2020-01-02 08:00:00,Ontario Demand,15655
2020-01-02 09:00:00,Ontario Demand,15819
2020-01-02 10:00:00,Ontario Demand,15839
2020-01-02 11:00:00,Ontario Demand,15846
2020-01-02 12:00:00,Ontario Demand,15685
2020-01-02 13:00:00,Ontario Demand,15926
2020-01-02 14:00:00,Ontario Demand,15932
2020-01-02 15:00:00,Ontario Demand,16048
2020-01-02 16:00:00,Ontario Demand,16846
2020-01-02 17:00:00,Ontario Demand,17621
2020-01-02 18:00:00,Ontario Demand,17331
2020-01-02 19:00:00,Ontario Demand,17099
2020-01-02 20:00:00,Ontario Demand,16784
2020-01-02 21:00:00,Ontario Demand,16005
2020-01-02 22:00:00,Ontario Demand,15145
